country_code,vd,ad,X,ad_rank,Y,Z
EC,0.2833975512184394,0.0,0.0010627408170691478,77.0,69.23076923076923,70.0
EE,3.0051305090615954,1.5025652545307977,0.011269239408980983,6.0,97.97570850202429,75.0
EG,0.0586313089645913,0.0097718848274318,0.00021986740861721737,74.0,70.44534412955466,66.67500000000001
EH,0.0,0.0,0.0,77.0,69.23076923076923,0.0
ER,0.0,0.0,0.0,77.0,69.23076923076923,0.0
ES,0.5068470067738202,0.0,0.001900676275401826,77.0,69.23076923076923,56.25
ET,0.0260952200837373,0.0086984066945791,9.785707531401487e-05,75.0,70.04048582995951,50.0
FI,1.627274862454592,0.0,0.0061022807342047194,77.0,69.23076923076923,66.67500000000001
FJ,0.0,0.0,0.0,77.0,69.23076923076923,0.0
FK,0.0,0.0,0.0,77.0,69.23076923076923,0.0
FM,0.0,0.0,0.0,77.0,69.23076923076923,0.0
FO,0.0,0.0,0.0,77.0,69.23076923076923,0.0
FR,0.5193526989765577,0.0296772970843747,0.001947572621162091,63.0,74.89878542510121,48.575
GA,1.347873594617132,0.0,0.005054525979814245,77.0,69.23076923076923,66.67500000000001
GB,8.807519443529019,0.7290007647515574,0.03302819791323382,13.0,95.1417004048583,53.2
GD,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GE,0.5385029617662896,0.0,0.002019386106623586,77.0,69.23076923076923,50.0
GF,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GG,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GH,0.1287293495997885,0.0321823373999471,0.00048273506099920686,62.0,75.30364372469636,50.0
GI,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GL,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GM,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GN,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GP,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GR,0.0933223300084764,0.0,0.0003499587375317865,77.0,69.23076923076923,50.0
GS,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GT,0.1186356919156834,0.0,0.0004448838446838128,77.0,69.23076923076923,25.0
GU,5.924767304764106,0.0,0.022217877392865393,77.0,69.23076923076923,100.0
GW,0.0,0.0,0.0,77.0,69.23076923076923,0.0
GY,0.0,0.0,0.0,77.0,69.23076923076923,0.0
HK,2.5330969109549777,0.133320890050262,0.009499113416081166,40.0,84.21052631578948,50.0
HM,,,,,,0.0
HN,0.3028893218186929,0.0,0.0011358349568200983,77.0,69.23076923076923,100.0
HR,0.2470844040324175,0.0,0.0009265665151215655,77.0,69.23076923076923,50.0
HT,0.0876998119628331,0.0,0.0003288742948606241,77.0,69.23076923076923,50.0
HU,0.2051331914427048,0.0,0.000769249467910143,77.0,69.23076923076923,50.0
ID,0.0548398706669651,0.0329039224001791,0.0002056495150011191,61.0,75.7085020242915,60.0
IE,14.214999667649304,0.4004225258492761,0.053306248753684886,21.0,91.90283400809717,52.125
IL,5.533313803990496,0.4339853963914114,0.020749926764964358,19.0,92.71255060728745,60.775
IM,11.760278483394488,0.0,0.04410104431272933,77.0,69.23076923076923,50.0
IN,0.1094199421692417,0.0101448953004594,0.0004103247831346563,73.0,70.8502024291498,61.925
IO,0.0,0.0,0.0,77.0,69.23076923076923,0.0
IQ,0.0248617049018555,0.0,9.323139338195811e-05,77.0,69.23076923076923,50.0
IR,0.1190576071304458,0.226209453547847,0.00044646602673917177,29.0,88.66396761133603,60.0
IS,5.458142866889541,2.7290714334447705,0.020468035750835778,4.0,98.78542510121457,50.0
IT,0.1847062456217273,0.0503744306241074,0.0006926484210814773,53.0,78.94736842105263,54.55
JE,0.0,0.0,0.0,77.0,69.23076923076923,0.0
JM,1.013116139244033,0.3377053797480109,0.0037991855221651237,23.0,91.09311740890688,66.67500000000001
JO,0.294027132823817,0.0980090442746056,0.0011026017480893135,45.0,82.18623481781377,66.67500000000001
JP,0.5403858089250931,0.0158937002625027,0.002026446783469099,72.0,71.25506072874494,52.949999999999996
KE,0.1859728144939772,0.0,0.0006973980543524145,77.0,69.23076923076923,75.0
KG,0.0,0.0,0.0,77.0,69.23076923076923,0.0
KH,0.1196245869437778,0.1196245869437778,0.0004485922010391667,41.0,83.80566801619433,75.0
KI,0.0,0.0,0.0,77.0,69.23076923076923,0.0
KM,0.0,0.0,0.0,77.0,69.23076923076923,0.0
KN,0.0,0.0,0.0,77.0,69.23076923076923,0.0
KP,0.1551661703612055,0.8922054795769317,0.0005818731388545207,10.0,96.35627530364373,62.5
KR,1.0235497752931653,0.1158735594671508,0.00383831165734937,42.0,83.40080971659918,56.60000000000001
KW,0.2341611632939263,0.0,0.0008781043623522235,77.0,69.23076923076923,50.0
KY,15.216068167985393,0.0,0.05706025562994522,77.0,69.23076923076923,50.0
KZ,0.3732449489294268,0.0533207069899181,0.0013996685584853504,51.0,79.75708502024291,57.15
LA,0.0,0.0,0.0,77.0,69.23076923076923,0.0
LB,0.4395319746325585,0.0,0.0016482449048720942,77.0,69.23076923076923,50.0
LC,0.0,0.0,0.0,77.0,69.23076923076923,0.0
LI,0.0,0.0,0.0,77.0,69.23076923076923,0.0
LK,0.0912450385510287,0.0,0.0003421688945663576,77.0,69.23076923076923,0.0
LR,0.0,0.0,0.0,77.0,69.23076923076923,0.0
LS,0.0,0.0,0.0,77.0,69.23076923076923,0.0
LT,2.1469209575267474,0.7156403191755824,0.008050953590725302,14.0,94.73684210526316,50.0
LU,3.163180578071251,0.0,0.01186192716776719,77.0,69.23076923076923,75.0
LV,1.5776619890741648,0.0,0.005916232459028117,77.0,69.23076923076923,50.0
LY,0.0,0.1455331439364998,0.0,39.0,84.61538461538461,0.0
MA,0.0541850383296833,0.0270925191648416,0.00020319389373631237,65.0,74.08906882591093,50.0
MC,25.481602283151563,0.0,0.09555600856181835,77.0,69.23076923076923,50.0
MD,0.7639944686800467,0.7639944686800467,0.002864979257550175,12.0,95.54655870445345,50.0
ME,1.608446273069141,0.0,0.006031673524009278,77.0,69.23076923076923,50.0
MF,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MG,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MH,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MK,0.4814330528825323,0.0,0.0018053739483094961,77.0,69.23076923076923,50.0
ML,0.0493806822968377,0.0,0.00018517755861314139,77.0,69.23076923076923,50.0
MM,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MN,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MO,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MP,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MR,0.2150694889518803,0.2150694889518803,0.0008065105835695512,30.0,88.25910931174089,50.0
MS,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MT,3.807456904347164,0.0,0.014277963391301864,77.0,69.23076923076923,50.0
MU,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MV,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MW,0.0,0.0,0.0,77.0,69.23076923076923,0.0
MX,0.1008277547598785,0.0077559811353752,0.0003781040803495444,76.0,69.63562753036437,57.699999999999996
MY,0.3398628400088265,0.0617932436379684,0.0012744856500330993,50.0,80.16194331983806,63.625
MZ,0.031994435527773,0.0,0.00011997913322914874,77.0,69.23076923076923,50.0
NC,0.0,0.0,0.0,77.0,69.23076923076923,0.0
NE,0.0,0.0,0.0,77.0,69.23076923076923,0.0
NF,0.0,0.0,0.0,77.0,69.23076923076923,0.0
NG,0.0242554090301927,0.0242554090301927,9.095778386322263e-05,68.0,72.8744939271255,50.0
NI,0.0,0.0,0.0,77.0,69.23076923076923,0.0
NL,1.5610178773170833,0.2401565965103205,0.005853817039939062,28.0,89.06882591093117,51.925
NO,1.4871339675340067,0.0,0.005576752378252525,77.0,69.23076923076923,50.0
