country_code,vd,ad,X,ad_rank,Y,Z,GCI,F
KW,0.2341611632939263,0.0,0.0008781043623522,77.0,69.23076923076923,50.0,75.07,3461.5384615384614
KY,15.216068167985393,0.0,0.0570602556299452,77.0,69.23076923076923,50.0,,3461.5384615384614
KZ,0.3732449489294268,0.0533207069899181,0.0013996685584853,51.0,79.75708502024291,57.15,93.15,4558.117408906883
LA,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
LB,0.4395319746325585,0.0,0.001648244904872,77.0,69.23076923076923,50.0,30.44,3461.5384615384614
LC,0.0,0.0,0.0,77.0,69.23076923076923,0.0,10.96,0.0
LI,0.0,0.0,0.0,77.0,69.23076923076923,0.0,35.15,0.0
LK,0.0912450385510287,0.0,0.0003421688945663,77.0,69.23076923076923,0.0,58.65,0.0
LR,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.72,0.0
LS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,9.08,0.0
LT,2.1469209575267474,0.7156403191755824,0.0080509535907253,14.0,94.73684210526316,50.0,97.93,4736.842105263158
LU,3.163180578071251,0.0,0.0118619271677671,77.0,69.23076923076923,75.0,97.41,5192.307692307692
LV,1.5776619890741648,0.0,0.0059162324590281,77.0,69.23076923076923,50.0,97.28,3461.5384615384614
LY,0.0,0.1455331439364998,0.0,39.0,84.61538461538461,0.0,28.78,0.0
MA,0.0541850383296833,0.0270925191648416,0.0002031938937363,65.0,74.08906882591093,50.0,82.41,3704.4534412955463
MC,25.481602283151563,0.0,0.0955560085618183,77.0,69.23076923076923,50.0,72.57,3461.5384615384614
MD,0.7639944686800467,0.7639944686800467,0.0028649792575501,12.0,95.54655870445345,50.0,75.78,4777.327935222673
ME,1.608446273069141,0.0,0.0060316735240092,77.0,69.23076923076923,50.0,53.23,3461.5384615384614
MF,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
MG,0.0,0.0,0.0,77.0,69.23076923076923,0.0,23.33,0.0
MH,0.0,0.0,0.0,77.0,69.23076923076923,0.0,4.9,0.0
MK,0.4814330528825323,0.0,0.0018053739483094,77.0,69.23076923076923,50.0,89.92,3461.5384615384614
ML,0.0493806822968377,0.0,0.0001851775586131,77.0,69.23076923076923,50.0,10.14,3461.5384615384614
MM,0.0,0.0,0.0,77.0,69.23076923076923,0.0,36.41,0.0
MN,0.0,0.0,0.0,77.0,69.23076923076923,0.0,26.2,0.0
MO,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
MP,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
MQ,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
MR,0.2150694889518803,0.2150694889518803,0.0008065105835695,30.0,88.25910931174089,50.0,18.94,4412.955465587044
MS,0.0,0.0,0.0,77.0,69.23076923076923,0.0,,0.0
MT,3.807456904347164,0.0,0.0142779633913018,77.0,69.23076923076923,50.0,83.65,3461.5384615384614
MU,0.0,0.0,0.0,77.0,69.23076923076923,0.0,96.89,0.0
MV,0.0,0.0,0.0,77.0,69.23076923076923,0.0,2.95,0.0
