Column,DataType
actor.external.country.NZ,bool
actor.external.country.OM,bool
actor.external.country.Other,bool
actor.external.country.PA,bool
actor.external.country.PE,bool
actor.external.country.PF,bool
actor.external.country.PG,bool
actor.external.country.PH,bool
actor.external.country.PK,bool
actor.external.country.PL,bool
actor.external.country.PM,bool
actor.external.country.PN,bool
actor.external.country.PR,bool
actor.external.country.PS,bool
actor.external.country.PT,bool
actor.external.country.PW,bool
actor.external.country.PY,bool
actor.external.country.QA,bool
actor.external.country.RE,bool
actor.external.country.RO,bool
actor.external.country.RS,bool
actor.external.country.RU,bool
actor.external.country.RW,bool
actor.external.country.SA,bool
actor.external.country.SB,bool
actor.external.country.SC,bool
actor.external.country.SD,bool
actor.external.country.SE,bool
actor.external.country.SG,bool
actor.external.country.SH,bool
actor.external.country.SI,bool
actor.external.country.SJ,bool
actor.external.country.SK,bool
actor.external.country.SL,bool
actor.external.country.SM,bool
actor.external.country.SN,bool
actor.external.country.SO,bool
actor.external.country.SR,bool
actor.external.country.SS,bool
actor.external.country.ST,bool
actor.external.country.SV,bool
actor.external.country.SX,bool
actor.external.country.SY,bool
actor.external.country.SZ,bool
actor.external.country.TC,bool
actor.external.country.TD,bool
actor.external.country.TF,bool
actor.external.country.TG,bool
actor.external.country.TH,bool
actor.external.country.TJ,bool
actor.external.country.TK,bool
actor.external.country.TL,bool
actor.external.country.TM,bool
actor.external.country.TN,bool
actor.external.country.TO,bool
actor.external.country.TR,bool
actor.external.country.TT,bool
actor.external.country.TV,bool
actor.external.country.TW,bool
actor.external.country.TZ,bool
actor.external.country.UA,bool
actor.external.country.UG,bool
actor.external.country.UM,bool
actor.external.country.Unknown,bool
actor.external.country.US,bool
actor.external.country.UY,bool
actor.external.country.UZ,bool
actor.external.country.VA,bool
actor.external.country.VC,bool
actor.external.country.VE,bool
actor.external.country.VG,bool
actor.external.country.VI,bool
actor.external.country.VN,bool
actor.external.country.VU,bool
actor.external.country.WF,bool
actor.external.country.WS,bool
actor.external.country.XK,bool
actor.external.country.YE,bool
actor.external.country.YT,bool
actor.external.country.ZA,bool
actor.external.country.ZM,bool
actor.external.country.ZW,bool
actor.external.motive.Convenience,bool
actor.external.motive.Espionage,bool
actor.external.motive.Fear,bool
actor.external.motive.Financial,bool
actor.external.motive.Fun,bool
actor.external.motive.Grudge,bool
actor.external.motive.Ideology,bool
actor.external.motive.NA,bool
actor.external.motive.Other,bool
actor.external.motive.Secondary,bool
actor.external.motive.Unknown,bool
actor.external.name,object
actor.external.notes,object
actor.external.region,object
actor.external.variety.Acquaintance,bool
actor.external.variety.Activist,bool
actor.external.variety.Auditor,bool
actor.external.variety.Competitor,bool
actor.external.variety.Customer,bool
actor.external.variety.Force majeure,bool
actor.external.variety.Former employee,bool
